VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,crash_count,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2010.0,BUS,VOLVO,60,4.0,6.0,43.38333333333333,10580.0,1.8166666666666667
2010.0,BUS,SCANIA,40,4.05,5.05,42.975,11335.0,1.975
2012.0,BUS,VOLVO,33,4.0,6.0,44.303030303030305,10598.787878787878,1.696969696969697
2013.0,BUS,VOLVO,30,4.0,6.0,46.46666666666667,10873.333333333334,1.7333333333333334
2014.0,BUS,VOLVO,28,4.071428571428571,6.0,46.607142857142854,10835.0,2.25
2011.0,BUS,VOLVO,28,4.0,6.0,45.57142857142857,10881.07142857143,2.7142857142857144
2006.0,BUS,MERC B,28,4.071428571428571,5.928571428571429,46.07142857142857,11237.5,3.107142857142857
2012.0,BUS,SCANIA,27,4.074074074074074,5.037037037037037,46.44444444444444,11483.703703703704,2.8518518518518516
2019.0,BUS,SCANIA,26,4.0,5.0,44.15384615384615,11575.384615384615,1.2692307692307692
2018.0,BUS,SCANIA,26,4.076923076923077,5.038461538461538,44.5,11661.923076923076,3.8846153846153846
