VEHICLE_YEAR_MANUF,VEHICLE_BODY_STYLE,VEHICLE_MAKE,crash_count,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS
2007.0,SEDAN,TOYOTA,1848,4.0021645021645025,4.314935064935065,5.011363636363637,1283.4642857142858,1.2916666666666667
2008.0,SEDAN,TOYOTA,1786,3.9977603583426653,4.251959686450168,5.016237402015678,1283.4759238521835,1.270996640537514
2010.0,SEDAN,TOYOTA,1623,4.0,4.181146025878004,5.006161429451633,1308.4540973505852,1.2858903265557609
2011.0,SEDAN,TOYOTA,1521,4.0,4.174884944115713,5.011176857330703,1326.5726495726497,1.2807363576594346
2002.0,SEDAN,HOLDEN,1488,4.0,5.653225806451613,4.981854838709677,1407.6969086021506,1.3830645161290323
2006.0,SEDAN,TOYOTA,1477,4.0,4.151658767772512,5.010832769126608,1215.050778605281,1.3114421123899798
2001.0,SEDAN,HOLDEN,1472,4.0,5.568614130434782,4.992527173913044,1384.3451086956522,1.3335597826086956
2013.0,SEDAN,TOYOTA,1457,4.0,4.1386410432395335,5.00754975978037,1358.9725463280713,1.304735758407687
2003.0,SEDAN,HOLDEN,1454,3.998624484181568,5.753782668500688,4.991059147180192,1442.1953232462174,1.376203576341128
2005.0,SEDAN,TOYOTA,1438,4.0,4.304589707927677,5.00904033379694,1229.067454798331,1.278164116828929
